epoch,train_loss,train_R_MSE,train_R_relative_L2,train_Amplitude_MSE,val_loss,val_R_MSE,val_R_relative_L2,val_Amplitude_MSE,learning_rate,kappa_lindblad,kappa_neural,seconds
1,0.2981231375281601,0.009897369994616611,0.5937759721734995,0.13951892447893066,0.24156368065763403,0.008838454914915842,0.5254464996784223,0.10103160444810133,0.001,0.576187014579773,1.0418951511383057,35.88663625717163
2,0.23763554936535602,0.008302292328537542,0.5443452230951659,0.09290307623483401,0.22852713427559695,0.007972924021991465,0.4948832070787346,0.09650067552698381,0.001,0.5768278241157532,1.172253966331482,36.54284954071045
3,0.22947112429365624,0.00786037469446702,0.5297455794023401,0.08885112111960655,0.22744833812970505,0.007712787751779462,0.4857130319181115,0.09799215406405204,0.001,0.5613726377487183,1.2771885395050049,36.34604525566101
4,0.2250350117597401,0.00766430100772804,0.5232454967017126,0.08625769998346056,0.22361914813518524,0.007689250319230336,0.4857550769141226,0.09420544409917461,0.001,0.534493088722229,1.366102695465088,36.43069052696228
5,0.22275676719984105,0.007598367503684277,0.52061537081029,0.08472801302552954,0.21820431821274036,0.007578501098880212,0.48106084548263034,0.09009351680927004,0.001,0.5168030261993408,1.4548436403274536,35.561455726623535
6,0.22060940236412258,0.007544165751580982,0.5191194208153399,0.08302873352389314,0.21952958818437274,0.007582789704498368,0.483102567348416,0.09092497044816764,0.001,0.4961697459220886,1.5325103998184204,36.240110635757446
7,0.22048586822648414,0.00755763676726094,0.5194996721515752,0.08281833655990439,0.21915572023752963,0.007584558042575314,0.4835758930103546,0.09044965042698162,0.001,0.4770095944404602,1.6021689176559448,37.62066102027893
8,0.2185139897366795,0.007513535418110923,0.518115555569207,0.08125467622305924,0.21600703975367627,0.0074404294726435685,0.47582651782116103,0.08940267638312747,0.001,0.4553043246269226,1.664661169052124,37.43882918357849
9,0.21720761827060153,0.00745309561324369,0.5159493482302105,0.08056774341311805,0.2158602467390022,0.00748526043813638,0.4791320304677944,0.08840115558080099,0.001,0.4368301033973694,1.7320406436920166,36.85524344444275
10,0.21686223112315497,0.007457594185648285,0.5159853806915393,0.0802252032303535,0.2159917346054456,0.00751986004857453,0.4819557159035294,0.08780837326940864,0.001,0.41781532764434814,1.7887643575668335,36.842811584472656
11,0.2153490421188858,0.007428648903654165,0.5151954018536412,0.07895303422700706,0.22085750374930474,0.007514077506846551,0.48014854758676856,0.09314620028365943,0.001,0.4001052975654602,1.8375322818756104,35.649580240249634
12,0.21480229819921876,0.007414871937102096,0.5144752799690544,0.07861381153351645,0.2183515863988536,0.00751152376233528,0.48005133614395606,0.09067893223492084,0.001,0.3850838840007782,1.8864177465438843,36.2800726890564
13,0.2137289052444791,0.007398794095998181,0.5139840366262378,0.07769264496948898,0.21733541996390732,0.007475778656174438,0.47871761823744086,0.09004341380526422,0.001,0.36989712715148926,1.9320279359817505,36.343881607055664
14,0.21278942167156875,0.007385303853899456,0.5134508931963647,0.07691239825574867,0.21865648235937563,0.007461530449627726,0.47774085231903024,0.09163482952737548,0.0005,0.353426992893219,1.9607633352279663,36.25129413604736
15,0.20750481772302376,0.007279822574108624,0.509722345559972,0.07267247729895779,0.2171911753990032,0.007541232901352523,0.481722667722991,0.08909925072130932,0.0005,0.3464474678039551,1.9826507568359375,35.62340259552002
16,0.2047974625406155,0.007129606432019374,0.5044346650785526,0.07144294174503626,0.21403601500723096,0.007266669998710555,0.46671225358340074,0.08997754565556142,0.0005,0.33725330233573914,1.989941120147705,35.78705716133118
17,0.20287167196838027,0.007073760510007025,0.5026186611745265,0.07003274177016978,0.21669092388064773,0.007311923923645081,0.46723769321184766,0.09246232790640407,0.0005,0.32748380303382874,2.0004117488861084,36.40596890449524
18,0.20126890398207165,0.00708142923188502,0.5027489222145356,0.06839524913165304,0.22074775181033396,0.007365008542370616,0.47183274335732767,0.09532174701027898,0.0005,0.32063519954681396,2.0117502212524414,36.35051655769348
19,0.20061069278188942,0.007118495313140253,0.5042071349349029,0.06734015266552115,0.2218824888720657,0.007484813379547136,0.4752779251798636,0.09548070775313611,0.0005,0.31222784519195557,2.021353244781494,36.48125100135803
20,0.19780348058988867,0.007088892912481405,0.5033178685805498,0.06478949026298719,0.2222772537758856,0.007521059632815596,0.4765126510501309,0.0955348708883229,0.0005,0.3052130341529846,2.032592535018921,35.504769802093506
21,0.19419918129540453,0.007037484102370419,0.5011715074466249,0.06177744111758462,0.22729754127837992,0.00757267622540545,0.4789513770578686,0.09989775758525136,0.00025,0.2987678349018097,2.0441629886627197,36.159528970718384
22,0.18733099195004196,0.006913087592684646,0.4969630664733237,0.05608855342710173,0.22778039069890174,0.007597191371682166,0.4785630596205843,0.10045507249707726,0.00025,0.29557517170906067,2.0529699325561523,36.1437611579895
23,0.18433722513492662,0.006849627158622033,0.49449436614695735,0.05377745586050967,0.22912920464570274,0.007628943241806544,0.4790850806316543,0.1016433978447007,0.00025,0.2925660014152527,2.060124397277832,36.12242841720581
