epoch,train_loss,train_R_MSE,train_R_relative_L2,train_Amplitude_MSE,val_loss,val_R_MSE,val_R_relative_L2,val_Amplitude_MSE,learning_rate,kappa_lindblad,kappa_neural,seconds
1,0.29767622242844294,0.009877006118074946,0.5931457120145727,0.13951278726044844,0.24099484416170153,0.008817056072593638,0.524514373143514,0.10104919657713235,0.001,0.6768149137496948,1.039543867111206,37.353336811065674
2,0.23722667867831165,0.008295497444994521,0.5441243118365949,0.09290010305968198,0.22811654632541065,0.00796807762423549,0.4946301342260958,0.09649093449366615,0.001,0.7017738819122314,1.169697642326355,36.89908838272095
3,0.22914543255066974,0.007860367589537457,0.5297391581672954,0.08885027551633799,0.2271540037008247,0.0077174091354163,0.48580136712552724,0.09798625234627363,0.001,0.708300769329071,1.2748764753341675,35.78543281555176
4,0.22473542363440663,0.007665757546241665,0.5232874796848105,0.0862477957987338,0.22327993091710088,0.007688500682011197,0.48567531016539245,0.09417260315030913,0.001,0.6995784640312195,1.3670485019683838,35.7583429813385
5,0.22249502911196126,0.007600298410343358,0.5206730885079068,0.08472645853674321,0.2179305366695128,0.007579370131653417,0.4810799495539681,0.09008117908931741,0.001,0.7003547549247742,1.4584856033325195,35.92458724975586
6,0.22038554703174387,0.007548326314904043,0.5192597155963188,0.08302229194328038,0.21922465735413008,0.007579181399760824,0.48292512785304675,0.09091419368066671,0.001,0.6968347430229187,1.5403366088867188,36.18842840194702
7,0.22040988237289294,0.007573720731172431,0.5200592809511297,0.08282134158507898,0.21887512955601368,0.007583394391079644,0.483452442760018,0.09042862436988137,0.001,0.694951593875885,1.6140397787094116,36.529563903808594
8,0.2184036601458449,0.007524917547793959,0.5185060026153686,0.0812522423989845,0.2175058265025367,0.007553425456964809,0.48222390084154276,0.08939642459530421,0.001,0.6885323524475098,1.6827598810195923,35.77762722969055
9,0.21740556975979825,0.007494342413127508,0.5173847596710722,0.0805650373536443,0.21583492507035484,0.00749639760332828,0.4798012552437959,0.08838821408787259,0.001,0.685762882232666,1.7554030418395996,36.576029777526855
10,0.21682314981973877,0.007471978338099317,0.5164923294282062,0.08022808935950157,0.21578486138321334,0.007520884891614468,0.48191302027365174,0.08778572253606938,0.001,0.6815075278282166,1.8164238929748535,36.40625357627869
11,0.2155390464640283,0.007455956970017624,0.516165019130982,0.07904183470884615,0.21939968612258282,0.007411569426845922,0.47493285446455985,0.09325490343174349,0.001,0.677407443523407,1.8407113552093506,36.516040563583374
12,0.21375890406867298,0.007319933456646932,0.5111073158520125,0.0786621414173346,0.2161873009068396,0.00737732360343314,0.4725372269097402,0.09067567117662743,0.001,0.6769482493400574,1.877651333808899,35.66078758239746
13,0.21267081598870854,0.007296805142278515,0.5103645633739482,0.07778287000583235,0.2148204024592634,0.007334336971625786,0.4706928728004096,0.08981284716226136,0.001,0.6755152940750122,1.915393352508545,35.842063426971436
14,0.211557185821891,0.007263532264526358,0.5091207848998891,0.07701345729449438,0.21626311879768115,0.00731505957488535,0.4693738975508847,0.0916045851560203,0.001,0.6709668040275574,1.93889319896698,36.202136516571045
15,0.21003787810840305,0.007222081884247228,0.507634174600136,0.07590725270313618,0.21517128309216163,0.007311044695163115,0.4699311705149384,0.0903774451752905,0.001,0.6743559837341309,1.9833908081054688,36.173712491989136
16,0.2085295190370788,0.007189962684081445,0.5065304200198572,0.0747069517233843,0.21467966881866005,0.007284480436494957,0.46738097182026617,0.09054994500094793,0.001,0.6709910035133362,2.0161213874816895,36.19165229797363
17,0.20654481994297252,0.007192483690834751,0.5068587332060843,0.07263765234021742,0.22106414707220765,0.007457012522288344,0.47549619807137383,0.09473308649302933,0.001,0.6635841727256775,2.0454659461975098,35.44225239753723
18,0.20412290868219016,0.007188938995675435,0.5066125619635093,0.0702808291042522,0.22386795503121834,0.007454077168038547,0.47621071936706905,0.097361197682593,0.001,0.6643138527870178,2.069671154022217,36.31506085395813
19,0.20239687821737787,0.007160509155470539,0.505688004473071,0.06881436800952426,0.2259023665077357,0.007605016166156139,0.47958581435559977,0.09840089661392198,0.001,0.6592894792556763,2.087531089782715,36.267009258270264
20,0.19766737616810448,0.007129101493915954,0.5047534084165252,0.06434992262589628,0.22508309013915784,0.007610167916048858,0.4809662802853568,0.09723135167764192,0.001,0.6567785143852234,2.11265230178833,36.40012812614441
21,0.19175080480255605,0.00704499650477804,0.5014676668427207,0.059338892355539755,0.23529770241843329,0.007756484957781906,0.4869100949579618,0.10581369335427629,0.0005,0.6561283469200134,2.1323163509368896,35.61102342605591
22,0.17903634819375489,0.006764592860071432,0.49155599843888054,0.04938275565273662,0.23388545853321,0.007815651790010005,0.4851520924054412,0.10478178465312428,0.0005,0.6536020040512085,2.153006076812744,36.15221929550171
23,0.17316497250810847,0.006581715179384185,0.4846545710450127,0.04541961485291542,0.24057426573050142,0.008010769764946066,0.4903292159038762,0.10998118935648339,0.0005,0.6541626453399658,2.1717276573181152,36.63377642631531
