variant,R_Relative_L2,R_Relative_L2_change_vs_A_percent
A_baseline,0.526243269443512,0.0
B_R_focused,0.5081048607826233,-3.4467725696652707
C_R_focused_soft_physics,0.5077136158943176,-3.52111934254075
