variant,best_epoch,best_val_loss,R_MSE,R_RMSE,R_Relative_L2,Amplitude_MSE,Amplitude_RMSE,Amplitude_Relative_L2,Mean_trace_error,Max_trace_error,Minimum_eigenvalue,Negative_eigenvalue_fraction,kappa_lindblad,kappa_neural
A_baseline,10,0.09518930163823996,0.007691658567637205,0.08770210127264458,0.526243269443512,0.07072079181671143,0.2659338109694054,0.28637638688087463,9.619276930550313e-09,1.1920928955078125e-07,-3.162564325975836e-07,0.0,0.7242858409881592,1.8759915828704834
B_R_focused,16,0.21467966881866005,0.007170474156737328,0.08467865230822541,0.5081048607826233,0.07369674742221832,0.27147144863174527,0.292339563369751,1.0142636064358612e-08,1.1920928955078125e-07,-3.7339742675612797e-07,0.0,0.6709910035133362,2.0161213874816895
C_R_focused_soft_physics,16,0.21403601500723096,0.0071594552136957645,0.08461356400539907,0.5077136158943176,0.07242956012487411,0.2691274050052765,0.28981542587280273,9.937556555428273e-09,1.1920928955078125e-07,-3.2147488582268124e-07,0.0,0.33725330233573914,1.989941120147705
