R_norm,amplitude_norm,mean_trace_error,max_trace_error,minimum_eigenvalue,negative_eigenvalue_fraction,finite,step,model
49.08705139160156,83.70513153076172,0.014509878121316433,0.14974325895309448,-0.7173728346824646,0.3489062488079071,True,1,FNO
49.10979080200195,67.12554931640625,0.011915676295757294,0.09218722581863403,-0.5286414623260498,0.3540104031562805,True,2,FNO
48.95766067504883,62.00338363647461,0.011118007823824883,0.10945749282836914,-0.5902689695358276,0.34968748688697815,True,3,FNO
48.868919372558594,60.711551666259766,0.01176327932626009,0.21967828273773193,-0.8603020906448364,0.3411979079246521,True,4,FNO
48.6460075378418,57.909629821777344,0.011730223894119263,0.34131890535354614,-1.4317011833190918,0.3361458480358124,True,5,FNO
48.54766082763672,54.80144119262695,0.011578663252294064,0.3286675214767456,-1.9714765548706055,0.33281248807907104,True,6,FNO
48.420719146728516,52.15082550048828,0.011153165251016617,0.1831268072128296,-2.076995611190796,0.3321875035762787,True,7,FNO
48.328102111816406,50.57316970825195,0.01122038159519434,0.1131826639175415,-1.7887487411499023,0.32890623807907104,True,8,FNO
48.22557067871094,49.389244079589844,0.011356768198311329,0.19970190525054932,-1.8018137216567993,0.3281770944595337,True,9,FNO
48.086978912353516,48.360511779785156,0.011222093366086483,0.20370185375213623,-1.9108610153198242,0.3266145884990692,True,10,FNO
47.9409065246582,47.568050384521484,0.011146122589707375,0.17375099658966064,-1.840338945388794,0.3229687511920929,True,11,FNO
47.85179901123047,47.047149658203125,0.011391649022698402,0.14763307571411133,-1.7648217678070068,0.31953126192092896,True,12,FNO
47.81871795654297,46.758243560791016,0.011738446541130543,0.1899459958076477,-1.6494015455245972,0.31828126311302185,True,13,FNO
47.83051681518555,46.61872100830078,0.012034655548632145,0.21786510944366455,-1.5308244228363037,0.31703126430511475,True,14,FNO
47.88859939575195,46.64448165893555,0.01236516609787941,0.23952311277389526,-1.753531813621521,0.31421875953674316,True,15,FNO
48.002689361572266,46.8548698425293,0.012707937508821487,0.257251501083374,-1.7428016662597656,0.31427082419395447,True,16,FNO
48.18446350097656,47.232444763183594,0.012977378442883492,0.2661588191986084,-1.6675218343734741,0.3136458396911621,True,17,FNO
48.43727493286133,47.72439956665039,0.013186145573854446,0.2656441926956177,-1.7486125230789185,0.3135937452316284,True,18,FNO
48.75361633300781,48.28202438354492,0.013409845530986786,0.2571863532066345,-1.81086266040802,0.3125,True,19,FNO
49.096981048583984,48.86896896362305,0.013700902462005615,0.2408626675605774,-2.013018846511841,0.3122916519641876,True,20,FNO
49.46483612060547,49.5100212097168,0.014091971330344677,0.22783112525939941,-2.160792827606201,0.31171876192092896,True,21,FNO
49.903343200683594,50.21590042114258,0.01450373139232397,0.20402377843856812,-2.2480592727661133,0.31166666746139526,True,22,FNO
50.43046569824219,51.021690368652344,0.014911556616425514,0.19966644048690796,-2.262333869934082,0.3113020956516266,True,23,FNO
51.047142028808594,52.00065612792969,0.015329631976783276,0.21105164289474487,-2.3845672607421875,0.31296876072883606,True,24,FNO
51.727237701416016,53.1549186706543,0.015786943957209587,0.20851939916610718,-2.514799118041992,0.31333333253860474,True,25,FNO
52.431396484375,54.43632888793945,0.016316378489136696,0.19753825664520264,-2.62666916847229,0.3139062523841858,True,26,FNO
53.14965057373047,55.85502243041992,0.016845379024744034,0.194688081741333,-2.7228219509124756,0.31437501311302185,True,27,FNO
53.89213180541992,57.44277572631836,0.017441341653466225,0.197831392288208,-2.8045339584350586,0.31333333253860474,True,28,FNO
54.647579193115234,59.20989227294922,0.018155574798583984,0.21672111749649048,-2.872718572616577,0.31307291984558105,True,29,FNO
55.419090270996094,61.25336837768555,0.018911704421043396,0.22643709182739258,-2.9279093742370605,0.3127604126930237,True,30,FNO
56.281410217285156,63.71502685546875,0.019904283806681633,0.25834858417510986,-2.9702091217041016,0.3133854269981384,True,31,FNO
57.319889068603516,66.79019165039062,0.021186785772442818,0.2843230962753296,-2.999774694442749,0.31463542580604553,True,32,FNO
58.62944030761719,70.74535369873047,0.022857055068016052,0.2956126928329468,-3.01735258102417,0.3166145980358124,True,33,FNO
60.37251663208008,75.86516571044922,0.025064684450626373,0.33743953704833984,-3.0244264602661133,0.31984373927116394,True,34,FNO
62.77499771118164,82.42395782470703,0.027959400787949562,0.3888164162635803,-3.02286958694458,0.3215104043483734,True,35,FNO
65.95307159423828,90.6755599975586,0.03131842613220215,0.46397870779037476,-3.014174699783325,0.32484376430511475,True,36,FNO
69.6554946899414,100.56028747558594,0.035069894045591354,0.5430792570114136,-3.467930316925049,0.3258854150772095,True,37,FNO
73.66117858886719,112.12162017822266,0.039082497358322144,0.6459250450134277,-4.346065521240234,0.32749998569488525,True,38,FNO
78.14167785644531,125.83062744140625,0.04365261644124985,0.7381883859634399,-5.29517126083374,0.32880207896232605,True,39,FNO
83.39317321777344,142.33155822753906,0.0487712062895298,0.8242448568344116,-6.073727607727051,0.3309895694255829,True,40,FNO
89.6329345703125,162.47071838378906,0.05463748052716255,1.0298166275024414,-6.552730083465576,0.3335416615009308,True,41,FNO
97.03379821777344,186.79212951660156,0.06138528510928154,1.186612844467163,-6.642382621765137,0.336041659116745,True,42,FNO
106.3083724975586,215.6160125732422,0.06916826963424683,1.2465152740478516,-6.957527160644531,0.33661457896232605,True,43,FNO
117.79965209960938,249.95802307128906,0.07884880900382996,1.4284584522247314,-7.666599273681641,0.33552083373069763,True,44,FNO
131.6134490966797,290.72918701171875,0.09089973568916321,1.6896681785583496,-9.29561996459961,0.3387500047683716,True,45,FNO
148.2108917236328,338.6804504394531,0.10481701791286469,2.0160062313079834,-10.098538398742676,0.3423958420753479,True,46,FNO
167.6277618408203,394.2580261230469,0.12146177887916565,2.4209399223327637,-12.263619422912598,0.34567707777023315,True,47,FNO
189.8218536376953,459.1734619140625,0.1404678374528885,2.89247989654541,-14.459829330444336,0.3486458361148834,True,48,FNO
215.13339233398438,534.572998046875,0.15960268676280975,3.3019771575927734,-15.456543922424316,0.3526041805744171,True,49,FNO
244.8019561767578,621.123779296875,0.18382391333580017,3.6133852005004883,-16.384002685546875,0.3556770980358124,True,50,FNO
