beta,MSE,RMSE,MAE,Relative_L2,Candidate_deltaR_norm,Target_deltaR_norm,Transition_cosine
0.01,0.02355336770415306,0.15347106754779816,0.07951568067073822,0.9996955990791321,0.02703596092760563,41.68445587158203,0.4697248339653015
0.025,0.023553354665637016,0.15347102284431458,0.07951568067073822,0.999695360660553,0.027060864493250847,41.68445587158203,0.4697232246398926
0.05,0.023553334176540375,0.1534709483385086,0.07951568067073822,0.9996948838233948,0.027140045538544655,41.68445587158203,0.46906861662864685
0.1,0.023553289473056793,0.15347081422805786,0.07951568812131882,0.9996938109397888,0.027438055723905563,41.68445587158203,0.4653897285461426
0.25,0.023553159087896347,0.15347038209438324,0.07951582223176956,0.9996911287307739,0.02937828190624714,41.68445587158203,0.4386211037635803
0.5,0.023552946746349335,0.15346969664096832,0.07951617240905762,0.9996863603591919,0.03537807986140251,41.68445587158203,0.36972543597221375
1.0,0.023552527651190758,0.1534683257341385,0.07951745390892029,0.9996777176856995,0.052883442491292953,41.68445587158203,0.25468572974205017
2.0,0.023551732301712036,0.15346573293209076,0.07952181249856949,0.9996607303619385,0.09465071558952332,41.68445587158203,0.15050728619098663
5.0,0.023549679666757584,0.15345904231071472,0.07954541593790054,0.9996169209480286,0.2280811071395874,41.68445587158203,0.07267817109823227
10.0,0.023547373712062836,0.15345153212547302,0.07961071282625198,0.9995682239532471,0.45355406403541565,41.68445587158203,0.045113347470760345
