gamma,R_change,amplitude_change,Lindblad_delta_norm,Neural_delta_norm
0.0,3.6135833263397217,3.4328818321228027,0.0,3.4476537704467773
0.01,3.6434125900268555,3.4306929111480713,0.06858503818511963,3.4468467235565186
0.05,3.7659454345703125,3.421933889389038,0.34292522072792053,3.443613290786743
0.15,4.093033313751221,3.400017023086548,1.028775691986084,3.435526132583618
0.35,4.819544315338135,3.356128692626953,2.4004762172698975,3.419337272644043
0.5,5.412763595581055,3.3231897354125977,3.4292521476745605,3.407193422317505
