step,R_norm,amplitude_norm,trace_mean,min_eigenvalue,finite
88,6.35736608505249,35.5594367980957,1.0,-5.5727490178014705e-08,True
89,6.3574419021606445,35.56489562988281,1.0,-4.4565325652001775e-08,True
90,6.357511520385742,35.56999588012695,1.0,-4.989216151329856e-08,True
91,6.357578277587891,35.574764251708984,1.0,-5.871874719787229e-08,True
92,6.357639312744141,35.57921600341797,1.0,-3.675712179074253e-08,True
93,6.3576979637146,35.583377838134766,1.0,-3.8188773032743484e-08,True
94,6.357752323150635,35.58726119995117,1.0,-4.312130386097124e-08,True
95,6.357803821563721,35.59089279174805,1.0,-4.999856173526496e-08,True
96,6.357851028442383,35.59428405761719,1.0,-5.3837009517110346e-08,True
97,6.35789680480957,35.597450256347656,1.0,-4.619746007961112e-08,True
98,6.357940196990967,35.600406646728516,1.0,-6.232903615455143e-08,True
99,6.357979774475098,35.60316467285156,1.0,-4.985914259236779e-08,True
100,6.358016490936279,35.605735778808594,1.0,-5.2184603305249766e-08,True
