step,R_norm,amplitude_norm,trace_mean,min_eigenvalue,finite
1,7.802120208740234,19.526256561279297,1.0,-6.871039204270346e-08,True
2,6.7610039710998535,19.75376319885254,1.0,-5.35129416334712e-08,True
3,6.355927467346191,20.086986541748047,1.0,-5.727633833885193e-08,True
4,6.189464569091797,20.45661163330078,1.0,-5.4964402806945145e-08,True
5,6.122232913970947,20.86856460571289,1.0,-5.93133364645837e-08,True
6,6.099069118499756,21.318342208862305,1.0,-3.868720455102448e-08,True
7,6.097049236297607,21.799842834472656,1.0,-4.775765205522475e-08,True
8,6.105017185211182,22.306732177734375,1.0,-4.924763885583161e-08,True
9,6.117837429046631,22.83201026916504,1.0,-5.055239071793949e-08,True
10,6.132619380950928,23.369884490966797,1.0,-6.171697464196768e-08,True
11,6.148036479949951,23.91448211669922,1.0,-4.6993253732807716e-08,True
12,6.163603782653809,24.46046257019043,1.0,-6.909431959911672e-08,True
13,6.178732872009277,25.003341674804688,1.0,-3.4416224536926165e-08,True
14,6.1929826736450195,25.53909683227539,1.0,-5.391264323861833e-08,True
15,6.2064008712768555,26.064239501953125,1.0,-4.6857191904337014e-08,True
16,6.218620300292969,26.576135635375977,1.0,-6.043445921477542e-08,True
17,6.228517532348633,27.072433471679688,1.0,-5.122712565253096e-08,True
18,6.236989498138428,27.550342559814453,1.0,-4.6274596599005235e-08,True
19,6.244779109954834,28.008514404296875,1.0,-4.4414310451657e-08,True
20,6.2521586418151855,28.446502685546875,1.0,-6.786000739111842e-08,True
21,6.259120464324951,28.864248275756836,1.0,-4.779685269795664e-08,True
22,6.265669822692871,29.261816024780273,1.0,-5.415604320546663e-08,True
23,6.2718186378479,29.63945770263672,1.0,-4.849637136317142e-08,True
24,6.277579307556152,29.99756622314453,1.0,-4.0806941825621834e-08,True
25,6.282970428466797,30.336654663085938,1.0,-5.274044667658018e-08,True
26,6.288011074066162,30.65732192993164,1.0,-4.304373391050831e-08,True
27,6.292716979980469,30.96023178100586,1.0,-6.63549641899408e-08,True
28,6.297107696533203,31.246091842651367,1.0,-6.750803294153229e-08,True
29,6.301202774047852,31.5156307220459,1.0,-6.120637152662312e-08,True
30,6.305021286010742,31.769590377807617,1.0,-4.8161162169435556e-08,True
31,6.308579921722412,32.00872039794922,1.0,-4.8223419923942856e-08,True
32,6.31189489364624,32.2337532043457,1.0,-5.4856769793332205e-08,True
33,6.3149847984313965,32.44541549682617,1.0,-4.891531446560293e-08,True
34,6.317862033843994,32.64441680908203,1.0,-5.553211934739011e-08,True
35,6.320542335510254,32.83143997192383,1.0,-4.441393386400705e-08,True
36,6.3230414390563965,33.00714874267578,1.0,-4.8614914760491956e-08,True
37,6.325368404388428,33.172176361083984,1.0,-4.5168238926862614e-08,True
38,6.327538967132568,33.32712936401367,1.0,-4.564489586300624e-08,True
39,6.329561233520508,33.472591400146484,1.0,-5.649592438317086e-08,True
40,6.331447124481201,33.60911178588867,1.0,-4.888693894145035e-08,True
41,6.333205699920654,33.73721694946289,1.0,-4.4533752685538275e-08,True
42,6.334846019744873,33.85740280151367,1.0,-4.716708090768407e-08,True
43,6.336377143859863,33.97014617919922,1.0,-5.519701673506461e-08,True
44,6.337805271148682,34.07589340209961,1.0,-4.6452370838778734e-08,True
45,6.339138031005859,34.1750602722168,1.0,-3.993076092001502e-08,True
46,6.340383052825928,34.26805114746094,1.0,-3.564696271496359e-08,True
47,6.341547012329102,34.3552360534668,1.0,-4.7531329983030446e-08,True
