epoch,train_loss,train_R_loss,train_amplitude_loss,val_loss,val_R_loss,val_amplitude_loss,kappa_lindblad,kappa_neural,time_seconds
1,2.6939340639922578,0.013343602924023644,2.680590465513326,1.1129960938503867,0.01883322135790398,1.0941628669437609,0.6909115314483643,0.6803849935531616,5.903813123703003
2,0.5572389913817584,0.012332462816167686,0.544906526399871,0.1938584148099548,0.018768584473352685,0.17508982984643234,0.7115427255630493,0.6759251356124878,5.503394603729248
3,0.22756588832806732,0.011955862520736153,0.21561002509068636,0.19248777173067394,0.01857093474582622,0.1739168370240613,0.7397266030311584,0.6762440800666809,3.551842212677002
4,0.20821095245369411,0.011620334687374405,0.1965906177284354,0.20650825829882372,0.01839837153491221,0.18810988680312507,0.7653481960296631,0.6774758100509644,5.064642429351807
5,0.19643753898345817,0.011350049602530771,0.18508749028383675,0.18667382370484503,0.01812550760805607,0.16854831607718218,0.789588451385498,0.6779128909111023,5.288793325424194
6,0.18452880008746,0.011099262090431432,0.17342953707202005,0.1809876201968444,0.01778020266639559,0.16320741858921553,0.8100468516349792,0.6782153844833374,4.512088060379028
7,0.17907885393853915,0.010860062011722791,0.1682187935053292,0.19040302265631526,0.01780551720998789,0.1725975042895267,0.8302797675132751,0.6812332272529602,3.9580862522125244
8,0.18309889698432663,0.010704677394133503,0.17239421995009407,0.187249324980535,0.017567965505938782,0.16968135841582951,0.8437638878822327,0.6831592321395874,5.441329002380371
9,0.17119511570465767,0.010554041426186845,0.1606410735491979,0.20337747068781603,0.01777612729684303,0.18560134478305515,0.8507805466651917,0.6873482465744019,3.3755953311920166
10,0.16299081990274333,0.010392466380055677,0.1525983545992334,0.20445366501808165,0.01790151676457179,0.1865521494495241,0.8576865792274475,0.6914971470832825,3.5590124130249023
