timestep,state_environment_effect,information_environment_effect,reference_entropy,open_entropy,delta_entropy,reference_instability,open_instability,delta_instability
72,0.00985317,0.0044732867,0.44971544,0.44974482,2.938509e-05,0.034478012,0.034412965,-6.5047294e-05
73,0.009970418,0.0041849315,0.45019266,0.45022044,2.7775764e-05,0.033900395,0.033833034,-6.73607e-05
74,0.0100863585,0.0041230996,0.45063534,0.45066154,2.6196241e-05,0.033382136,0.03331247,-6.9666654e-05
75,0.010201259,0.0047055744,0.45103458,0.45105916,2.4586916e-05,0.03287858,0.032806613,-7.196888e-05
76,0.010315077,0.0047033606,0.45139423,0.4514172,2.297759e-05,0.032346345,0.032272115,-7.4230134e-05
77,0.0104277525,0.004587394,0.45171782,0.45173913,2.130866e-05,0.031839605,0.031763144,-7.646158e-05
78,0.010539254,0.004246168,0.45200464,0.4520243,1.9669533e-05,0.031347163,0.031269394,-7.776916e-05
79,0.010649669,0.004667667,0.45225456,0.45227253,1.79708e-05,0.03083663,0.03076699,-6.964058e-05
80,0.01075876,0.0040222374,0.45247266,0.45248893,1.6272068e-05,0.03037285,0.030309098,-6.3752756e-05
81,0.010866434,0.0043065855,0.45265934,0.45267394,1.4603138e-05,0.029936211,0.029880071,-5.6140125e-05
82,0.010973196,0.0035855738,0.45281768,0.45283052,1.2844801e-05,0.02946259,0.029416924,-4.566647e-05
83,0.011078626,0.004255934,0.45293665,0.4529477,1.1056662e-05,0.028977131,0.028936263,-4.0868297e-05
84,0.011182993,0.004082604,0.4530343,0.45304364,9.328127e-06,0.02854506,0.028510207,-3.4851953e-05
85,0.011286298,0.0040119337,0.4531128,0.45312038,7.56979e-06,0.028145062,0.028117856,-2.7205795e-05
86,0.011388157,0.004332057,0.45315018,0.45315596,5.7816505e-06,0.027709924,0.027690891,-1.9032508e-05
87,0.011488836,0.0042399745,0.45316952,0.45317355,4.0233135e-06,0.027311247,0.027298918,-1.2328848e-05
88,0.011588198,0.0042555537,0.4531545,0.4531567,2.2053719e-06,0.026916718,0.026905548,-1.1170283e-05
89,0.011686259,0.003920908,0.45312688,0.45312724,3.5762787e-07,0.026536854,0.026531912,-4.9415976e-06
90,0.011783292,0.0036511864,0.4530509,0.45304945,-1.4603138e-06,0.026119445,0.026130702,1.1257827e-05
91,0.011879221,0.0039780946,0.4529466,0.45294327,-3.33786e-06,0.025707293,0.02573644,2.9146671e-05
92,0.011973706,0.0039326344,0.45284805,0.45284292,-5.1259995e-06,0.025361734,0.025398076,3.634207e-05
93,0.012067062,0.0038273227,0.45273158,0.45272458,-7.0035458e-06,0.025012547,0.025055198,4.265085e-05
94,0.012159102,0.0037984834,0.45258826,0.4525793,-8.970499e-06,0.024654474,0.024708856,5.4381788e-05
95,0.012250299,0.003928718,0.4524479,0.4524371,-1.0788441e-05,0.024345847,0.024406549,6.0701743e-05
96,0.01234043,0.0042405473,0.45228046,0.45226777,-1.2695789e-05,0.024021927,0.024089586,6.765872e-05
97,0.012429591,0.0039428677,0.45206362,0.45204896,-1.4662743e-05,0.023659661,0.023737453,7.779151e-05
98,0.012517472,0.004332104,0.45187375,0.45185718,-1.6570091e-05,0.023364441,0.023448262,8.3820894e-05
99,0.012604436,0.004551254,0.45164484,0.4516263,-1.8537045e-05,0.02304806,0.023139426,9.136647e-05
