timestep,state_environment_effect,information_environment_effect,reference_entropy,open_entropy,delta_entropy,reference_instability,open_instability,delta_instability
70,0.06750724,0.028500376,0.44857496,0.44875363,0.00017866492,0.035627667,0.035855506,0.00022783875
71,0.068360165,0.029886939,0.44915372,0.44931978,0.00016605854,0.03503744,0.035273597,0.00023615733
72,0.06920616,0.029997878,0.44968554,0.44983888,0.00015333295,0.034466967,0.0347122,0.00024523214
73,0.070045546,0.027934356,0.4501683,0.45030877,0.00014045835,0.033902124,0.034172222,0.00027009845
74,0.070877366,0.027545238,0.4506111,0.45073864,0.00012752414,0.033365723,0.033660777,0.00029505417
75,0.071702294,0.03151744,0.45101205,0.45112658,0.000114530325,0.032842584,0.03316292,0.0003203377
76,0.072520375,0.03151138,0.45137343,0.45147473,0.000101298094,0.032317985,0.0326621,0.00034411624
77,0.073330626,0.030694079,0.45169744,0.4517854,8.794665e-05,0.031809714,0.032176174,0.00036646053
78,0.0741336,0.028369559,0.45198476,0.45205924,7.4476004e-05,0.031313792,0.03170237,0.00038857758
79,0.0749292,0.031717118,0.45223624,0.4522971,6.0856342e-05,0.030819176,0.031229388,0.0004102122
80,0.075716615,0.027557168,0.45245445,0.45250165,4.720688e-05,0.030347258,0.030777454,0.00043019652
81,0.0764959,0.0299398,0.45264044,0.45267385,3.3408403e-05,0.029891275,0.03034173,0.00045045465
82,0.077267855,0.025420606,0.4527959,0.4528153,1.9401312e-05,0.029429654,0.029898725,0.0004690718
83,0.078031816,0.030425752,0.45291796,0.4529232,5.2452087e-06,0.02897058,0.029457696,0.00048711523
84,0.07878797,0.029550146,0.45301345,0.4530045,-8.940697e-06,0.02853559,0.029041115,0.0005055256
85,0.079536565,0.02942614,0.45308378,0.45306057,-2.321601e-05,0.028117392,0.02864005,0.0005226582
86,0.08027678,0.031982087,0.4531223,0.4530846,-3.7699938e-05,0.027693424,0.02823326,0.00053983554
87,0.08100902,0.031397,0.45313734,0.45308512,-5.221367e-05,0.027287371,0.027842408,0.0005550366
88,0.081733026,0.031526357,0.45312405,0.4530572,-6.684661e-05,0.026888307,0.027455522,0.00056721456
89,0.082448766,0.029259806,0.4530904,0.45300877,-8.162856e-05,0.026499575,0.027079938,0.000580363
90,0.083157,0.027568314,0.45302495,0.45292836,-9.658933e-05,0.026103634,0.026698636,0.0005950015
91,0.08385748,0.029803371,0.452935,0.4528234,-0.0001116097,0.025714602,0.026324421,0.00060981885
92,0.084549494,0.02948628,0.4528325,0.45270586,-0.00012663007,0.025352776,0.02597345,0.00062067434
93,0.08523366,0.028672656,0.45270997,0.45256814,-0.00014182925,0.024994621,0.025625482,0.00063086115
94,0.085909806,0.028291853,0.45256504,0.45240772,-0.00015732646,0.024638258,0.025280684,0.0006424263
95,0.08657872,0.02908577,0.45240813,0.45223546,-0.00017267466,0.024303,0.024955038,0.00065203756
96,0.087240174,0.031107647,0.45222962,0.45204145,-0.00018817186,0.023967156,0.02462868,0.000661524
97,0.08789432,0.028693154,0.45202246,0.45181853,-0.00020393729,0.023622938,0.024294501,0.00067156367
98,0.08854044,0.031236753,0.45181277,0.4515931,-0.00021967292,0.023308154,0.02398523,0.00067707524
99,0.08917939,0.03256599,0.45157877,0.45134318,-0.00023558736,0.02299093,0.023673436,0.00068250485
