timestep,state_environment_effect,information_environment_effect,reference_entropy,open_entropy,delta_entropy,reference_instability,open_instability,delta_instability
68,0.0018730988,0.00073114585,0.4472685,0.44727576,7.2717667e-06,0.036833644,0.036822412,-1.123175e-05
69,0.0018973011,0.00086410774,0.44794184,0.4479488,6.9737434e-06,0.03622073,0.036209024,-1.1704862e-05
70,0.0019212904,0.00085544196,0.44856605,0.44857273,6.67572e-06,0.035620306,0.03560813,-1.2174249e-05
71,0.0019450488,0.0008914765,0.4491424,0.44914874,6.3478947e-06,0.03503389,0.03502125,-1.263991e-05
72,0.001968612,0.0008949685,0.44967255,0.44967857,6.020069e-06,0.034462176,0.03444907,-1.3105571e-05
73,0.001991896,0.000837239,0.4501577,0.45016342,5.722046e-06,0.03390286,0.033889294,-1.3567507e-05
74,0.0020150167,0.0008243073,0.45060053,0.45060596,5.4240227e-06,0.0333586,0.033344567,-1.4033169e-05
75,0.0020378926,0.0009410785,0.4510022,0.4510073,5.096197e-06,0.032826982,0.032812495,-1.4487654e-05
76,0.0020605156,0.00094065117,0.45136437,0.45136914,4.7683716e-06,0.032305695,0.03229075,-1.4945865e-05
77,0.0020829444,0.00091740803,0.45168853,0.45169297,4.440546e-06,0.03179676,0.031781368,-1.53929e-05
78,0.002105073,0.00085014384,0.45197606,0.45198017,4.1127205e-06,0.03129933,0.031283483,-1.5847385e-05
79,0.002127007,0.00094517117,0.45222822,0.452232,3.784895e-06,0.030811612,0.030795325,-1.628697e-05
80,0.002148724,0.00082404126,0.4524465,0.45244995,3.4570694e-06,0.030336166,0.030319437,-1.6728416e-05
81,0.0021701036,0.0008905746,0.45263213,0.45263523,3.0994415e-06,0.029871807,0.02985464,-1.7166138e-05
82,0.0021913243,0.00075937045,0.45278636,0.45278913,2.771616e-06,0.029415386,0.02939779,-1.7596409e-05
83,0.002212263,0.00090034347,0.4529098,0.45291224,2.4437904e-06,0.028967738,0.02894971,-1.8028542e-05
84,0.002233019,0.0008742939,0.45300436,0.45300645,2.0861626e-06,0.028531479,0.028513024,-1.8455088e-05
85,0.0022534644,0.00086789025,0.45307112,0.45307288,1.758337e-06,0.028105404,0.028086528,-1.8876046e-05
86,0.0022737181,0.00093938096,0.45311007,0.4531115,1.4305115e-06,0.027686274,0.027666982,-1.9291416e-05
87,0.0022936983,0.0009206457,0.45312324,0.45312428,1.0430813e-06,0.027277026,0.027257323,-1.970306e-05
88,0.0023134379,0.00092252874,0.45311072,0.45311144,7.1525574e-07,0.026875997,0.026855886,-2.011098e-05
89,0.0023329642,0.0008560247,0.45307446,0.45307478,3.2782555e-07,0.026483428,0.02646291,-2.0517036e-05
90,0.0023522247,0.0008050029,0.4530136,0.45301357,-2.9802322e-08,0.026096784,0.02607587,-2.091378e-05
91,0.00237129,0.00086673914,0.45292988,0.4529295,-3.874302e-07,0.025717761,0.025696453,-2.130866e-05
92,0.0023901,0.0008561289,0.45282564,0.4528249,-7.4505806e-07,0.025348889,0.025327187,-2.1701679e-05
93,0.0024086798,0.0008319808,0.4527005,0.4526994,-1.1026859e-06,0.024986848,0.024964767,-2.2081658e-05
94,0.0024270085,0.0008183324,0.45255485,0.45255336,-1.4901161e-06,0.024631228,0.024608765,-2.24635e-05
95,0.002445141,0.00083384087,0.4523907,0.45238882,-1.8775463e-06,0.024284441,0.024262547,-2.1893531e-05
96,0.0024630337,0.0008455368,0.45220733,0.45220512,-2.2053719e-06,0.02394344,0.02393134,-1.2099743e-05
97,0.0024806748,0.0007672794,0.45200443,0.45200184,-2.592802e-06,0.02360703,0.023604518,-2.5127083e-06
98,0.0024981585,0.00082346424,0.45178604,0.45178306,-2.9802322e-06,0.023283847,0.023286289,2.4419278e-06
99,0.0025153959,0.00085167296,0.4515498,0.45154646,-3.33786e-06,0.022966202,0.02297284,6.6384673e-06
