regime,model,completed_steps,worst_minimum_eigenvalue,worst_max_trace_error,worst_psd_violation_fraction,max_R_norm,min_R_norm,max_amplitude_norm,min_amplitude_norm,all_finite
low_noise,Step26_C_LNO,100,-3.133409336442128e-07,1.1920928955078125e-07,0.0,11.313712120056152,10.44554328918457,33.28662872314453,2.824784755706787,True
stochastic,Step26_C_LNO,100,-2.811482318065828e-07,1.1920928955078125e-07,0.0,10.449257850646973,8.545022964477539,33.42975234985352,2.29072380065918,True
heavy_dissipation,Step26_C_LNO,100,-2.849896816314868e-07,1.1920928955078125e-07,0.0,11.260807991027832,9.632211685180664,33.01670837402344,2.912800073623657,True
collapse,Step26_C_LNO,100,-2.938970737886848e-07,1.1920928955078125e-07,0.0,9.944439888000488,8.39536190032959,33.50436782836914,2.127453565597534,True
metastable,Step26_C_LNO,100,-2.9906377108090965e-07,1.1920928955078125e-07,0.0,10.838797569274902,8.923375129699707,32.88270950317383,3.011960029602051,True
