regime,transitions,R_Relative_L2_FNO,R_Relative_L2_Final_LNO,R_Relative_L2_C_LNO,Amplitude_Relative_L2_FNO,Amplitude_Relative_L2_Final_LNO,Amplitude_Relative_L2_C_LNO,C_LNO_R_better_than_FNO,C_LNO_R_better_than_Final_LNO
low_noise,297,0.1555262207984924,0.1420385092496872,0.1008652821183204,0.0301894526928663,0.0408076867461204,0.0336220413446426,True,True
stochastic,297,0.6222813129425049,0.6385464072227478,0.615386426448822,0.1910804808139801,0.1911165714263916,0.1911882609128952,True,True
heavy_dissipation,297,0.4147300124168396,0.4185986518859863,0.4035600423812866,0.0499697849154472,0.0567190311849117,0.0517417900264263,True,True
collapse,297,0.663486897945404,0.6619823575019836,0.6591235995292664,0.2761536538600921,0.2728930413722992,0.2789204716682434,True,True
metastable,297,0.5569154620170593,0.5644978880882263,0.5499855875968933,0.1185305565595626,0.1205673068761825,0.1213828027248382,True,True
