model,R_RMSE,R_Relative_L2,Amplitude_RMSE,Amplitude_Relative_L2,Mean_trace_error,Max_trace_error,Minimum_eigenvalue,Negative_eigenvalue_fraction
FNO,0.0860810057005188,0.5165263414382935,0.4143533045352371,0.1760764122009277,0.0114981932565569,0.1505589485168457,-0.7177095413208008,0.3407845795154571
Final_LNO,0.0869243728222916,0.5215809941291809,0.413495791586802,0.1757120788097381,2.8379938399325514e-08,2.384185791015625e-07,-3.285332184077561e-07,0.0
Step26_C_LNO,0.084613564005399,0.5077136158943176,0.4183994640871613,0.1777958273887634,9.937556555428273e-09,1.1920928955078125e-07,-3.2147488582268124e-07,0.0
