epoch,train_loss,train_R_loss,train_amplitude_loss,val_loss,val_R_loss,val_amplitude_loss,learning_rate,time_seconds,improved
1,0.14792088418768942,0.014332616698765566,0.13358826711021288,0.11889556607714406,0.011280586819481167,0.10761497851323198,0.001,50.91163611412048,True
2,0.105840772932226,0.010405878879903973,0.09543489373865582,0.10854909186963281,0.009243999295538725,0.09930509267381145,0.001,53.93179702758789,True
3,0.09987277910543382,0.008823662465048517,0.09104911636394512,0.10321193342457717,0.008475213765044405,0.09473672050869826,0.001,47.200090408325195,True
4,0.09639600775114558,0.008471267032578136,0.08792474077044198,0.10068334294890716,0.008340502702803523,0.09234284042735091,0.001,82.00004076957703,True
5,0.0934729895098901,0.008285308292493073,0.08518768116337225,0.10053728272768384,0.008166062835641582,0.09237122072113885,0.001,59.54632091522217,True
6,0.09216605773085425,0.008159463425686995,0.08400659431585125,0.0988676758125575,0.008075969972920538,0.09079170622282759,0.001,56.79985523223877,True
7,0.09030256235238278,0.008060858743251832,0.0822417034365742,0.09689690634382493,0.007940712546685127,0.08895619326123735,0.001,51.60791873931885,True
8,0.08907745409149456,0.007980054035288259,0.08109740021209869,0.09775130559097636,0.007919685423424349,0.08983162072885417,0.001,66.80729699134827,False
9,0.08864353043692452,0.007860281965782675,0.08078324871210309,0.1021814980691531,0.00800130560379538,0.09418019219630896,0.001,66.20212984085083,False
10,0.08765059484862339,0.007830968479865094,0.07981962659994267,0.09894033872368761,0.0077083816331645055,0.09123195632915906,0.001,57.010992765426636,False
11,0.08666678114886923,0.007706236457358105,0.07896054462781028,0.09863592019110215,0.007821741848807745,0.09081417843574024,0.001,59.439247608184814,False
12,0.08594338505234553,0.0077258220204510985,0.07821756302665323,0.0970882843853749,0.007917827046052976,0.08917045663252021,0.0005,56.16288733482361,False
13,0.0832786433850274,0.007523422289107527,0.07575522112736713,0.09461815921897038,0.0075431132896078956,0.08707504609838028,0.0005,51.79193568229675,True
14,0.08276648281806002,0.007520336894423285,0.07524614597947578,0.09447503048700817,0.007513736365268929,0.08696129341039066,0.0005,51.02542471885681,True
15,0.08193639131292464,0.007507329325300532,0.07442906185404047,0.09757219053528927,0.0075744524676515795,0.08999773777068062,0.0005,52.5649516582489,False
16,0.08118596013318237,0.007486120256908442,0.07369983991632213,0.10523124414649776,0.0076346532579649375,0.09759659079289196,0.0005,52.517897605895996,False
17,0.08092512799397347,0.007495218049869221,0.07342990997098225,0.09971585843385972,0.007581977139506176,0.09213388087666947,0.0005,56.485490798950195,False
18,0.08003397150043114,0.007503564986380148,0.0725304065231895,0.09853968183864346,0.0075567834276818865,0.09098289874523427,0.0005,60.559802532196045,False
19,0.07950811651447978,0.00750614283969263,0.07200197353421524,0.10102153845658206,0.007605935750460183,0.09341560326428827,0.00025,52.93421745300293,False
20,0.07602660211789573,0.007406537096630271,0.0686200651148009,0.09947411610434452,0.007544675204739827,0.09192944075143974,0.00025,52.664456367492676,False
21,0.07479614717899291,0.007410180923753401,0.06738596615552214,0.10063330314752429,0.007548822674850121,0.09308448015455069,0.00025,56.24531388282776,False
22,0.07345774149653887,0.007403811385309455,0.06605393013998888,0.10269655365659934,0.007592740448925531,0.0951038132653719,0.00025,54.92414379119873,False
