regime,transitions,R_RMSE,R_MAE,R_relative_L2,amplitude_RMSE,amplitude_MAE,amplitude_relative_L2
collapse,297,0.11057976633310318,0.06731414049863815,0.6634805798530579,0.7457848191261292,0.5567042827606201,0.2761537432670593
heavy_dissipation,297,0.06912248581647873,0.03754294663667679,0.4147340953350067,0.10932247340679169,0.0717419907450676,0.04996979236602783
low_noise,297,0.02592005953192711,0.016302328556776047,0.1555214673280716,0.0647047683596611,0.03721514716744423,0.030189454555511475
metastable,297,0.09282009303569794,0.053189679980278015,0.5569192171096802,0.26946672797203064,0.19377803802490234,0.11853063106536865
stochastic,297,0.10371342301368713,0.06143626943230629,0.6222802400588989,0.4620583951473236,0.32982516288757324,0.19108040630817413
