regime,transitions,R_RMSE,R_MAE,R_relative_L2,amplitude_RMSE,amplitude_MAE,amplitude_relative_L2
collapse,297,0.11033046245574951,0.06540548801422119,0.6619830131530762,0.7369791269302368,0.5394079089164734,0.27289316058158875
heavy_dissipation,297,0.06976833939552307,0.03662203997373581,0.418608158826828,0.12408827990293503,0.0873648002743721,0.056719038635492325
low_noise,297,0.02367275021970272,0.013066492974758148,0.14203697443008423,0.08746271580457687,0.053941577672958374,0.04080769047141075
metastable,297,0.09408541023731232,0.052084796130657196,0.5645102262496948,0.27409693598747253,0.19889092445373535,0.12056733667850494
stochastic,297,0.10642528533935547,0.06046957150101662,0.6385495662689209,0.4621458947658539,0.3216628432273865,0.191116601228714
