step,R_norm,amplitude_norm,trace_mean,min_eigenvalue,finite
1,11.078600883483887,34.1186637878418,1.0,-1.3534469189835363e-07,True
2,11.106218338012695,26.439428329467773,1.0,-1.4751701371551462e-07,True
3,11.155679702758789,22.186861038208008,1.0,-1.575686212618166e-07,True
4,11.09201431274414,20.512218475341797,1.0,-1.731945928895584e-07,True
5,11.0807466506958,18.906909942626953,1.0,-2.0102049802517286e-07,True
6,11.095873832702637,17.39492416381836,1.0,-1.82932510028877e-07,True
7,11.083664894104004,16.31145668029785,1.0,-1.673803922130901e-07,True
8,11.02924919128418,15.2964448928833,1.0,-1.8783256905408052e-07,True
9,10.981942176818848,14.237908363342285,1.0,-1.3435008838769136e-07,True
10,10.976530075073242,13.223349571228027,1.0,-1.653013157465466e-07,True
11,11.025111198425293,12.470041275024414,1.0,-1.647633212087385e-07,True
12,11.080617904663086,12.184081077575684,1.0,-2.272011414561348e-07,True
13,11.076998710632324,11.985723495483398,1.0,-1.5048313173338101e-07,True
14,11.032236099243164,11.552751541137695,1.0,-1.4142933935090696e-07,True
15,10.944732666015625,11.314157485961914,1.0,-1.4029174622010032e-07,True
16,10.884126663208008,10.929242134094238,1.0,-1.7765282223081158e-07,True
17,10.854641914367676,10.61356258392334,1.0,-2.1187391041621595e-07,True
18,10.877861022949219,10.340680122375488,1.0,-1.4182523955241777e-07,True
19,10.918721199035645,10.362099647521973,1.0,-1.6944078140568308e-07,True
20,10.963452339172363,10.659383773803711,1.0,-1.5824463162061875e-07,True
21,10.994491577148438,11.058027267456055,1.0,-1.5586704193992773e-07,True
22,11.008557319641113,11.320167541503906,1.0,-2.350149657104339e-07,True
23,11.007027626037598,11.404643058776855,1.0,-1.5929701646655303e-07,True
24,11.002036094665527,11.392693519592285,1.0,-1.4737133824382909e-07,True
25,10.996894836425781,11.344487190246582,1.0,-2.332668032067886e-07,True
26,10.991756439208984,11.286111831665039,1.0,-1.3512945429283718e-07,True
27,10.987527847290039,11.226187705993652,1.0,-1.4740987808181671e-07,True
28,10.98455810546875,11.165107727050781,1.0,-1.2366697887955524e-07,True
29,10.982538223266602,11.105306625366211,1.0,-1.9064540879298875e-07,True
30,10.982217788696289,11.048650741577148,1.0,-1.8025356496309541e-07,True
31,10.983245849609375,10.996341705322266,1.0,-2.015552382772512e-07,True
32,10.985456466674805,10.949908256530762,1.0,-1.9105577564459963e-07,True
33,10.988872528076172,10.910537719726562,1.0,-1.4917146984316787e-07,True
34,10.99256706237793,10.879989624023438,1.0,-2.3399095994136587e-07,True
35,10.995356559753418,10.860172271728516,1.0,-1.9286002839180583e-07,True
36,10.99672794342041,10.852866172790527,1.0,-1.5923171758913668e-07,True
37,10.995746612548828,10.861209869384766,1.0,-1.8246760191686917e-07,True
38,10.992779731750488,10.88680648803711,1.0,-1.799152471448906e-07,True
39,10.986083030700684,10.930787086486816,1.0,-2.6568937983029173e-07,True
40,10.978913307189941,10.990814208984375,1.0,-2.2594184656554717e-07,True
