trajectory_id,regime,trajectory_index,noise_seed,noise_sigma,open_gamma,reference_gamma,timesteps,spatial_points,paired_noise_max_error
metastable_001,metastable,1,150081,0.3,0.15,0.0,100,128,0.0
metastable_002,metastable,2,150082,0.3,0.15,0.0,100,128,0.0
metastable_003,metastable,3,150083,0.3,0.15,0.0,100,128,0.0
metastable_004,metastable,4,150084,0.3,0.15,0.0,100,128,0.0
metastable_005,metastable,5,150085,0.3,0.15,0.0,100,128,0.0
metastable_006,metastable,6,150086,0.3,0.15,0.0,100,128,0.0
metastable_007,metastable,7,150087,0.3,0.15,0.0,100,128,0.0
metastable_008,metastable,8,150088,0.3,0.15,0.0,100,128,0.0
metastable_009,metastable,9,150089,0.3,0.15,0.0,100,128,0.0
metastable_010,metastable,10,150090,0.3,0.15,0.0,100,128,0.0
metastable_011,metastable,11,150091,0.3,0.15,0.0,100,128,0.0
metastable_012,metastable,12,150092,0.3,0.15,0.0,100,128,0.0
metastable_013,metastable,13,150093,0.3,0.15,0.0,100,128,0.0
metastable_014,metastable,14,150094,0.3,0.15,0.0,100,128,0.0
metastable_015,metastable,15,150095,0.3,0.15,0.0,100,128,0.0
metastable_016,metastable,16,150096,0.3,0.15,0.0,100,128,0.0
metastable_017,metastable,17,150097,0.3,0.15,0.0,100,128,0.0
metastable_018,metastable,18,150098,0.3,0.15,0.0,100,128,0.0
metastable_019,metastable,19,150099,0.3,0.15,0.0,100,128,0.0
