regime,trajectories,transitions,gamma,noise_sigma,mean_delta_R,p95_delta_R,max_delta_R,mean_abs_delta_amplitude,mean_abs_delta_state
low_noise,20,1980,0.01,0.02,0.0007086900877766311,0.0021077711135149,0.017396215349435806,0.0004390353278722614,8.349928975803778e-05
stochastic,20,1980,0.05,0.45,0.00300406850874424,0.009271767921745777,0.08745367079973221,0.002032307907938957,0.0004181159602012485
heavy_dissipation,20,1980,0.35,0.15,0.023206990212202072,0.07122484594583511,0.585498034954071,0.015133767388761044,0.002952683949843049
collapse,20,1980,0.5,0.65,0.027389558032155037,0.08637388795614243,0.7490186095237732,0.020087702199816704,0.0042366646230220795
metastable,20,1980,0.15,0.3,0.009431645274162292,0.029067568480968475,0.2627919912338257,0.006271084304898977,0.001258008531294763
