step,frobenius_norm,min_eigenvalue,trace_mean
1,3.999992847442627,-6.737413826840566e-08,1.0
2,3.999985694885254,-1.9906066484054463e-07,1.0
3,3.9999783039093018,-7.238603672021782e-08,1.0
4,3.9999711513519287,-8.055227596059922e-08,1.0
5,3.9999642372131348,-1.636274618022071e-07,1.0
6,3.9999566078186035,-1.1437277436243676e-07,1.0
7,3.9999494552612305,-1.5462246949482505e-07,0.9999999403953552
8,3.9999423027038574,-2.149582343236034e-07,1.0
9,3.9999349117279053,-2.3492452783102635e-07,1.0
10,3.9999282360076904,-1.9508546245106118e-07,1.0
11,3.9999208450317383,-1.2816050798392098e-07,1.0
12,3.9999136924743652,-2.1765910673821054e-07,1.0
13,3.999906539916992,-1.8905301146787679e-07,1.0
14,3.999899387359619,-2.5500938249933824e-07,1.0
15,3.999892473220825,-2.952934039512911e-07,1.0
16,3.999885320663452,-3.6066484199182014e-07,1.0
17,3.999878406524658,-3.1558948876408977e-07,1.0
18,3.999871015548706,-4.225503289490007e-07,1.0
19,3.999863624572754,-2.3703644558281667e-07,1.0
20,3.99985671043396,-3.8686630432493985e-07,1.0
21,3.999849557876587,-3.8240401067923813e-07,0.9999999403953552
22,3.9998421669006348,-4.5131375259188644e-07,0.9999999403953552
23,3.999835252761841,-4.339209169756941e-07,0.9999999403953552
24,3.9998278617858887,-4.4038293367520964e-07,0.9999999403953552
25,3.9998207092285156,-4.4025301804140327e-07,0.9999999403953552
26,3.9998133182525635,-5.137971470503544e-07,0.9999999403953552
27,3.9998061656951904,-4.721425739262486e-07,0.9999999403953552
28,3.9997990131378174,-4.902847194898641e-07,0.9999999403953552
29,3.9997920989990234,-5.987319582345663e-07,1.0
30,3.9997849464416504,-6.051670311535418e-07,0.9999999403953552
31,3.9997777938842773,-5.813922143715899e-07,0.9999999403953552
32,3.9997706413269043,-5.293103981784952e-07,0.9999999403953552
33,3.9997634887695312,-5.723559866055439e-07,0.9999999403953552
34,3.999756336212158,-6.055974495211558e-07,0.9999999403953552
35,3.999749183654785,-5.52703397715959e-07,0.9999999403953552
36,3.999742031097412,-6.595665240638482e-07,1.0
37,3.999734878540039,-6.718723284393491e-07,1.0
38,3.999727487564087,-7.928192076178675e-07,1.0
39,3.999720573425293,-7.472451670764713e-07,0.9999999403953552
40,3.999713182449341,-6.66416383410251e-07,0.9999999403953552
41,3.9997060298919678,-7.452522936546302e-07,0.9999999403953552
42,3.9996988773345947,-7.759522873129754e-07,0.9999999403953552
43,3.9996917247772217,-8.279270105049363e-07,0.9999999403953552
44,3.9996848106384277,-7.278207476701937e-07,0.9999999403953552
45,3.9996774196624756,-8.064431540333317e-07,0.9999999403953552
46,3.9996705055236816,-7.868881084505119e-07,0.9999999403953552
47,3.9996631145477295,-8.04139745014254e-07,0.9999999403953552
48,3.9996562004089355,-7.279882083821576e-07,0.9999998807907104
49,3.9996488094329834,-1.0079540970764356e-06,0.9999998807907104
50,3.9996416568756104,-8.770882118369627e-07,0.9999998807907104
51,3.9996345043182373,-8.910666906558617e-07,0.9999998807907104
52,3.9996273517608643,-8.95938967460097e-07,0.9999998807907104
53,3.999620199203491,-8.47556009375694e-07,0.9999998807907104
54,3.9996132850646973,-9.317805051978212e-07,0.9999998807907104
55,3.999605894088745,-9.169165195999085e-07,0.9999998807907104
56,3.999598741531372,-9.684861197456485e-07,0.9999998807907104
57,3.99959135055542,-9.406406888956553e-07,0.9999998807907104
58,3.999584436416626,-1.0727756034611957e-06,0.9999998807907104
