regime,timestep,gamma,noise_sigma,trajectory_length,spatial_points,information_dimension,reference_gamma,representation,environment_conditioned
low_noise,82,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,83,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,84,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,85,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,86,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,87,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,88,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,89,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,90,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,91,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,92,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,93,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,94,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,95,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,96,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,97,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
low_noise,98,0.01,0.02,100,128,6,0.0,R + full_information_amplitude,True
stochastic,0,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,1,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,2,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,3,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,4,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,5,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,6,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,7,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,8,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,9,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,10,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,11,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,12,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,13,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,14,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,15,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,16,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,17,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,18,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,19,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,20,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,21,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,22,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,23,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,24,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,25,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,26,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,27,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,28,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,29,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,30,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,31,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,32,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,33,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,34,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,35,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,36,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,37,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,38,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,39,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,40,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,41,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,42,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,43,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,44,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,45,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,46,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,47,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,48,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,49,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,50,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,51,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,52,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,53,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,54,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,55,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,56,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,57,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,58,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,59,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,60,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,61,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,62,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,63,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,64,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,65,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,66,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,67,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,68,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,69,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,70,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,71,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,72,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,73,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,74,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,75,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,76,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,77,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,78,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,79,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,80,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,81,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,82,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,83,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,84,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,85,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,86,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,87,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,88,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,89,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,90,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,91,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,92,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,93,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,94,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,95,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,96,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,97,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
stochastic,98,0.05,0.45,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,0,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,1,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,2,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,3,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,4,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,5,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,6,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,7,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,8,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,9,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,10,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,11,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,12,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,13,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,14,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,15,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,16,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,17,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,18,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,19,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,20,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,21,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,22,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,23,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,24,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,25,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,26,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,27,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,28,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,29,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,30,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,31,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,32,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,33,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,34,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,35,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,36,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,37,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,38,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,39,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,40,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,41,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,42,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,43,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,44,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,45,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,46,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,47,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,48,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,49,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,50,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,51,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,52,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,53,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,54,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,55,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,56,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,57,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,58,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,59,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
