regime,gamma,noise_sigma,transitions,mean_delta_R,p95_delta_R,max_delta_R,mean_abs_delta_amplitude,max_abs_delta_amplitude
low_noise,0.01,0.02,99,0.0006221046787686646,0.0019044067012146115,0.01562529429793358,0.0004138165386393666,0.12636268138885498
stochastic,0.05,0.45,99,0.003038719529286027,0.009455054998397827,0.07887721061706543,0.0020649340003728867,0.626445472240448
heavy_dissipation,0.35,0.15,99,0.02112279087305069,0.066273033618927,0.5566591024398804,0.014306798577308655,4.099151611328125
collapse,0.5,0.65,99,0.030163150280714035,0.09424301981925964,0.7638888955116272,0.020763810724020004,5.641246795654297
metastable,0.15,0.3,99,0.00904853455722332,0.028387900441884995,0.24055030941963196,0.006162791047245264,1.839555263519287
