model,rollout_steps,worst_minimum_eigenvalue,worst_max_trace_error,worst_negative_eigenvalue_fraction,max_R_norm,min_R_norm,max_amplitude_norm,min_amplitude_norm,all_finite
FNO,100,-54929.453125,23389.328125,0.4084374904632568,1121672.0,47.81871795654297,3731312.75,46.61872100830078,True
LNO,100,-2.8635551529987424e-07,1.1920928955078125e-07,0.0,49.41068649291992,47.114707946777344,83.23006439208984,41.1758918762207,True
