regime,FNO_completed_steps,LNO_completed_steps,FNO_worst_trace_error,LNO_worst_trace_error,FNO_worst_minimum_eigenvalue,LNO_worst_minimum_eigenvalue,FNO_worst_psd_violation_fraction,LNO_worst_psd_violation_fraction,LNO_structurally_better
low_noise,100,100,1280.1636962890625,1.1920928955078125e-07,-3052.16943359375,-2.834431995779596e-07,0.4520833194255829,0.0,True
stochastic,100,100,23389.505859375,1.1920928955078125e-07,-54929.9609375,-2.732159600782325e-07,0.395312488079071,0.0,True
heavy_dissipation,100,100,3166.123046875,1.1920928955078125e-07,-7367.24365234375,-3.360702010013483e-07,0.3929687440395355,0.0,True
collapse,100,100,21297.2421875,1.1920928955078125e-07,-47460.65625,-2.579238014277508e-07,0.3916666805744171,0.0,True
metastable,100,100,21892.921875,1.1920928955078125e-07,-49051.3984375,-3.071423009259888e-07,0.4260416626930237,0.0,True
