model,R_RMSE,R_Relative_L2,Amplitude_RMSE,Amplitude_Relative_L2
FNO,0.0860810036,0.51648602,0.4143533045,0.17607665
LNO,0.0869243741,0.52154625,0.413495779,0.17571226
