step,R_norm,amplitude_norm,trace_mean,min_eigenvalue
1,3.999992609024048,25.255760192871094,1.0,-4.74720458498723e-08
2,3.999985456466675,25.255760192871094,1.0,-2.262335918601366e-08
3,3.9999780654907227,25.255760192871094,1.0,-1.9829805353310803e-08
4,3.9999709129333496,25.255760192871094,1.0,-2.6002695108218177e-08
5,3.9999635219573975,25.255760192871094,1.0,-1.581715736165279e-08
6,3.9999563694000244,25.255760192871094,1.0,-2.6726478807859166e-08
7,3.9999489784240723,25.255760192871094,1.0,-3.3923559072945864e-08
8,3.99994158744812,25.255760192871094,1.0,-1.2853739406182285e-08
9,3.999934196472168,25.255760192871094,1.0,-3.970822959331599e-08
10,3.999927043914795,25.255760192871094,1.0,-3.4519977987201855e-08
11,3.999920129776001,25.255760192871094,1.0,-2.4490617533956538e-08
12,3.999912738800049,25.255760192871094,1.0,-3.437895657043555e-08
13,3.999905586242676,25.255760192871094,1.0,-3.660116121295687e-08
14,3.9998979568481445,25.255760192871094,1.0,-3.443382468049094e-08
15,3.9998908042907715,25.255760192871094,1.0,-3.912901291869275e-08
16,3.9998836517333984,25.255760192871094,1.0,-4.346889070916404e-08
17,3.9998764991760254,25.255760192871094,0.9999999403953552,-6.608530611629249e-08
18,3.9998693466186523,25.255760192871094,1.0,-3.2354289913882894e-08
19,3.999861717224121,25.255760192871094,0.9999999403953552,-3.091950162570356e-08
20,3.99985408782959,25.255760192871094,0.9999999403953552,-7.68951267104967e-08
21,3.999847412109375,25.255760192871094,0.9999999403953552,-5.392352164790282e-08
22,3.9998397827148438,25.255760192871094,0.9999999403953552,-4.96890422141405e-08
23,3.99983286857605,25.255760192871094,0.9999999403953552,-4.58853364193601e-08
24,3.9998254776000977,25.255760192871094,1.0,-3.793989833411615e-08
25,3.9998183250427246,25.255760192871094,0.9999999403953552,-5.142371861666106e-08
26,3.9998111724853516,25.255760192871094,1.0,-4.312639845238664e-08
27,3.9998040199279785,25.255760192871094,1.0,-7.002633850561324e-08
28,3.9997966289520264,25.255760192871094,1.0,-4.835370859268551e-08
29,3.999788999557495,25.255760192871094,0.9999999403953552,-5.445921047453339e-08
30,3.999781847000122,25.255760192871094,1.0,-5.234249300656302e-08
31,3.999774694442749,25.255760192871094,1.0,-5.5894034289849515e-08
32,3.999767303466797,25.255760192871094,1.0,-5.854533569049636e-08
33,3.999760150909424,25.255760192871094,1.0,-9.234308606664854e-08
34,3.9997527599334717,25.255760192871094,1.0,-5.4275691496741274e-08
35,3.9997456073760986,25.255760192871094,1.0,-4.4679676847181327e-08
36,3.9997384548187256,25.255760192871094,1.0,-5.2104542902498e-08
37,3.9997310638427734,25.255760192871094,1.0,-6.036112409901762e-08
38,3.9997239112854004,25.255760192871094,1.0,-4.347559112716226e-08
39,3.9997165203094482,25.255760192871094,0.9999999403953552,-5.8068103214736766e-08
40,3.999709129333496,25.255760192871094,0.9999999403953552,-4.6919296892156126e-08
41,3.999701976776123,25.255760192871094,0.9999999403953552,-5.192225316363874e-08
42,3.99969482421875,25.255760192871094,0.9999999403953552,-4.349680793325206e-08
43,3.999687671661377,25.255760192871094,0.9999999403953552,-5.272047332027796e-08
44,3.999680280685425,25.255760192871094,0.9999999403953552,-7.782700350844607e-08
45,3.9996731281280518,25.255760192871094,0.9999999403953552,-4.3127563742473285e-08
46,3.9996657371520996,25.255760192871094,0.9999999403953552,-6.991673728862224e-08
47,3.9996585845947266,25.255760192871094,0.9999999403953552,-6.769792548766418e-08
48,3.9996509552001953,25.255760192871094,0.9999999403953552,-6.359395143817892e-08
49,3.9996438026428223,25.255760192871094,0.9999999403953552,-6.055474699451224e-08
50,3.99963641166687,25.255760192871094,1.0,-7.383219724488299e-08
51,3.999629497528076,25.255760192871094,1.0,-6.202566993351866e-08
52,3.9996225833892822,25.255760192871094,1.0,-7.433504123355306e-08
53,3.999614953994751,25.255760192871094,1.0,-8.21328711708702e-08
54,3.999607801437378,25.255760192871094,1.0,-4.8093042437358235e-08
55,3.9996001720428467,25.255760192871094,1.0,-5.260612567781209e-08
56,3.9995930194854736,25.255760192871094,1.0,-6.106671435190947e-08
57,3.9995858669281006,25.255760192871094,1.0,-7.293245829487205e-08
58,3.9995782375335693,25.255760192871094,1.0,-6.494844484450368e-08
59,3.9995713233947754,25.255760192871094,1.0,-7.876494123593147e-08
60,3.9995639324188232,25.255760192871094,1.0,-8.88333815396436e-08
61,3.99955677986145,25.255760192871094,1.0,-7.199526663725919e-08
62,3.999549388885498,25.255760192871094,1.0,-9.582641524730207e-08
63,3.999542236328125,25.255760192871094,1.0,-8.376066062965037e-08
64,3.999534845352173,25.255760192871094,1.0,-9.918566235000981e-08
65,3.9995274543762207,25.255760192871094,1.0,-8.551842967108314e-08
66,3.9995203018188477,25.255760192871094,0.9999999403953552,-1.307555237417546e-07
67,3.9995129108428955,25.255760192871094,0.9999999403953552,-8.363480930029255e-08
68,3.9995059967041016,25.255760192871094,0.9999998807907104,-1.16121213977749e-07
69,3.9994986057281494,25.255760192871094,0.9999999403953552,-7.920564115693196e-08
70,3.9994912147521973,25.255760192871094,0.9999998807907104,-8.759448633099964e-08
71,3.999484062194824,25.255760192871094,0.9999998807907104,-1.1050337178630798e-07
72,3.999476671218872,25.255760192871094,0.9999998807907104,-9.448481819163135e-08
73,3.999469518661499,25.255760192871094,0.9999998807907104,-1.069500186190453e-07
74,3.999462366104126,25.255760192871094,0.9999998807907104,-8.194391654114952e-08
75,3.999455213546753,25.255760192871094,0.9999998807907104,-1.0421905471957871e-07
76,3.999447822570801,25.255760192871094,0.9999998807907104,-9.754421625984833e-08
77,3.9994406700134277,25.255760192871094,0.9999998807907104,-9.123407096467417e-08
78,3.9994332790374756,25.255760192871094,0.9999998807907104,-8.663526784857822e-08
79,3.9994258880615234,25.255760192871094,0.9999998807907104,-8.372029469683184e-08
80,3.9994187355041504,25.255760192871094,0.9999998807907104,-9.126230793299328e-08
81,3.9994113445281982,25.255760192871094,0.9999998807907104,-1.3297535872425215e-07
82,3.999404191970825,25.255760192871094,0.9999998807907104,-1.199502719373413e-07
83,3.999397039413452,25.255760192871094,0.9999998807907104,-1.2845703167840838e-07
84,3.999389886856079,25.255760192871094,0.9999998211860657,-1.1980731073890638e-07
85,3.999382495880127,25.255760192871094,0.9999998807907104,-1.0392081861709812e-07
86,3.999375343322754,25.255760192871094,0.9999998807907104,-1.24906108567302e-07
87,3.9993679523468018,25.255760192871094,0.9999998211860657,-1.0787171333959122e-07
88,3.9993605613708496,25.255760192871094,0.9999998211860657,-1.567449885442329e-07
89,3.9993534088134766,25.255760192871094,0.9999998807907104,-1.683844601529927e-07
90,3.9993460178375244,25.255760192871094,0.9999998807907104,-1.616387521607976e-07
91,3.9993388652801514,25.255760192871094,0.9999998807907104,-1.2378856695249851e-07
92,3.999331474304199,25.255760192871094,0.9999998807907104,-1.449971307465603e-07
93,3.999324321746826,25.255760192871094,0.9999998807907104,-1.4789645774726523e-07
94,3.999316692352295,25.255760192871094,0.9999998807907104,-1.2614530930932233e-07
95,3.999309778213501,25.255760192871094,0.9999998807907104,-9.870033323977623e-08
96,3.999302625656128,25.255760192871094,0.9999998807907104,-1.2678064820192958e-07
97,3.9992949962615967,25.255760192871094,0.9999998807907104,-1.0699446306716709e-07
98,3.9992878437042236,25.255760192871094,0.9999998807907104,-1.5460227587027475e-07
99,3.9992806911468506,25.255760192871094,0.9999998807907104,-1.4257237523906952e-07
100,3.9992733001708984,25.255760192871094,0.9999999403953552,-1.2799203830127226e-07
