gamma,R_change,amplitude_change
0.0,0.0,1.2615925015779794e-06
0.01,1.9488657017063815e-06,1.2615925015779794e-06
0.05,9.908304491546005e-06,1.2615925015779794e-06
0.15,2.9735849238932133e-05,4.1019084164872766e-06
0.35,6.935940473340452e-05,5.993750164634548e-06
0.5,9.914458496496081e-05,9.608002073946409e-06
