model,R_MSE,R_RMSE,R_MAE,R_Relative_L2,Amplitude_MSE,Amplitude_RMSE,Amplitude_MAE,Amplitude_Relative_L2,Mean_trace_error,Max_trace_error,Minimum_eigenvalue,Negative_eigenvalue_fraction
FNO,0.007409939160473891,0.08608100348203367,0.04715707307632913,0.5164860208777802,0.1716886589381651,0.4143533020722353,0.2378529262647459,0.17607665358020497,0.011498193715819735,0.15055890381336212,-0.7177094565304319,0.3407845819304153
LNO,0.007555846831839723,0.08692437421022783,0.04552967560179763,0.5215462452468018,0.17097876919994637,0.413495791030509,0.24025361633292,0.17571226002069873,3.4666830992200254e-08,1.9650906324386597e-07,-7.539971437457684e-08,0.0
