metric,FNO,LNO,LNO_percent_change_vs_FNO
R_RMSE,0.08608100348203367,0.08692437421022783,0.9797408186120805
R_Relative_L2,0.5164860208777802,0.5215462452468018,0.9797408186211662
Amplitude_RMSE,0.4143533020722353,0.413495791030509,-0.20695166116348712
Amplitude_Relative_L2,0.17607665358020497,0.17571226002069873,-0.20695166116283695
Mean_trace_error,0.011498193715819735,3.4666830992200254e-08,-99.99969849324296
Max_trace_error,0.15055890381336212,1.9650906324386597e-07,-99.99986947961345
