regime,model,step,R_norm,mean_trace_error,max_trace_error,minimum_eigenvalue,negative_eigenvalue_fraction,finite,amplitude_norm
low_noise,FNO,1,24.868404388427734,0.013670610263943672,0.1497417688369751,-0.7173731327056885,0.37187498807907104,True,38.13637924194336
low_noise,FNO,2,24.851280212402344,0.012135104276239872,0.07819890975952148,-0.5286418199539185,0.3695312440395355,True,30.697175979614258
low_noise,FNO,3,24.77704620361328,0.011033679358661175,0.062407493591308594,-0.309549480676651,0.3658854067325592,True,28.12786865234375
low_noise,FNO,4,24.867454528808594,0.012259756214916706,0.21967846155166626,-0.8603014349937439,0.3635416626930237,True,27.912946701049805
low_noise,FNO,5,24.903879165649414,0.012821247801184654,0.32036393880844116,-1.4317008256912231,0.3596354126930237,True,26.947084426879883
low_noise,FNO,6,24.981014251708984,0.013068834319710732,0.3054847717285156,-1.9714772701263428,0.35494792461395264,True,26.207382202148438
low_noise,FNO,7,24.97952651977539,0.012271452695131302,0.18312692642211914,-2.0769968032836914,0.35624998807907104,True,25.0196533203125
low_noise,FNO,8,24.993270874023438,0.01230533141642809,0.11318343877792358,-1.7887502908706665,0.3567708432674408,True,24.548629760742188
low_noise,FNO,9,25.00351905822754,0.012418136931955814,0.19970166683197021,-1.8018133640289307,0.3541666567325592,True,24.302183151245117
low_noise,FNO,10,24.979717254638672,0.01215818990021944,0.20370173454284668,-1.9108617305755615,0.3515625,True,24.07550048828125
low_noise,FNO,11,24.935850143432617,0.011687010526657104,0.1737501621246338,-1.8403397798538208,0.34713542461395264,True,23.836332321166992
low_noise,FNO,12,24.949508666992188,0.011836415156722069,0.11981725692749023,-1.7648221254348755,0.34453123807907104,True,23.621856689453125
low_noise,FNO,13,25.015947341918945,0.012168713845312595,0.10361003875732422,-1.6494028568267822,0.3427083194255829,True,23.452430725097656
low_noise,FNO,14,25.11064338684082,0.012357918545603752,0.09186434745788574,-1.4947640895843506,0.34166666865348816,True,23.271442413330078
low_noise,FNO,15,25.231653213500977,0.012682070024311543,0.09097158908843994,-1.414694905281067,0.3401041626930237,True,23.095651626586914
low_noise,FNO,16,25.393211364746094,0.012977449223399162,0.09946715831756592,-1.5591413974761963,0.33984375,True,22.95233917236328
low_noise,FNO,17,25.625558853149414,0.01317946333438158,0.10517120361328125,-1.6675211191177368,0.3388020694255829,True,22.86565589904785
low_noise,FNO,18,25.95466423034668,0.013246787711977959,0.10901480913162231,-1.7486131191253662,0.34062498807907104,True,22.82396697998047
low_noise,FNO,19,26.3826961517334,0.01344379223883152,0.13769161701202393,-1.8108618259429932,0.3375000059604645,True,22.763565063476562
low_noise,FNO,20,26.848438262939453,0.013723507523536682,0.16065555810928345,-2.0130138397216797,0.33776041865348816,True,22.603561401367188
low_noise,FNO,21,27.339689254760742,0.014302822761237621,0.16135060787200928,-2.1607894897460938,0.3361979126930237,True,22.39202308654785
low_noise,FNO,22,27.926176071166992,0.014853140339255333,0.1673269271850586,-2.2480571269989014,0.34062498807907104,True,22.147258758544922
low_noise,FNO,23,28.62277603149414,0.015149039216339588,0.18840789794921875,-2.262333631515503,0.3421874940395355,True,21.885740280151367
low_noise,FNO,24,29.413936614990234,0.015440818853676319,0.1982743740081787,-2.3845646381378174,0.3486979305744171,True,21.696680068969727
low_noise,FNO,25,30.253414154052734,0.015755601227283478,0.19702696800231934,-2.514801025390625,0.35234373807907104,True,21.627944946289062
low_noise,FNO,26,31.072784423828125,0.016315225511789322,0.18811273574829102,-2.626671314239502,0.3557291626930237,True,21.670978546142578
low_noise,FNO,27,31.83340072631836,0.01672797091305256,0.18021678924560547,-2.722825765609741,0.3583333194255829,True,21.82315444946289
low_noise,FNO,28,32.52665710449219,0.01717960834503174,0.18730264902114868,-2.8045380115509033,0.3552083373069763,True,22.04297637939453
low_noise,FNO,29,33.08773422241211,0.017941340804100037,0.2003348469734192,-2.872723340988159,0.35468751192092896,True,22.219263076782227
low_noise,FNO,30,33.448577880859375,0.018156571313738823,0.20786720514297485,-2.9279143810272217,0.3567708432674408,True,22.367366790771484
low_noise,FNO,31,33.63174819946289,0.01822630688548088,0.20734328031539917,-2.970214366912842,0.3565104305744171,True,22.495065689086914
low_noise,FNO,32,33.655723571777344,0.018124908208847046,0.19032281637191772,-2.999776840209961,0.35755208134651184,True,22.600650787353516
low_noise,FNO,33,33.52488708496094,0.01810990646481514,0.15920794010162354,-3.017355442047119,0.3591145873069763,True,22.687740325927734
low_noise,FNO,34,33.24842834472656,0.017969632521271706,0.149816632270813,-3.0244290828704834,0.36276042461395264,True,22.766111373901367
low_noise,FNO,35,32.85198211669922,0.017771977931261063,0.13812577724456787,-3.02287220954895,0.3617187440395355,True,22.845149993896484
low_noise,FNO,36,32.37734603881836,0.017785854637622833,0.11298143863677979,-3.0141775608062744,0.36119791865348816,True,22.941587448120117
low_noise,FNO,37,31.864782333374023,0.018000993877649307,0.11491936445236206,-3.0022900104522705,0.3619791567325592,True,23.103309631347656
low_noise,FNO,38,31.339941024780273,0.01847202703356743,0.13062238693237305,-3.009570837020874,0.3617187440395355,True,23.426300048828125
low_noise,FNO,39,30.813573837280273,0.01916174590587616,0.15445780754089355,-3.004072904586792,0.3604166805744171,True,23.992094039916992
low_noise,FNO,40,30.305316925048828,0.01938229240477085,0.1725391149520874,-2.985672950744629,0.36328125,True,24.735767364501953
low_noise,FNO,41,29.824460983276367,0.01965239644050598,0.1776583194732666,-2.953934907913208,0.36536458134651184,True,25.5069580078125
low_noise,FNO,42,29.3875675201416,0.01998300477862358,0.17274188995361328,-2.907878875732422,0.36666667461395264,True,26.175933837890625
low_noise,FNO,43,29.029407501220703,0.020395668223500252,0.17880094051361084,-2.8458619117736816,0.3674479126930237,True,26.7397403717041
low_noise,FNO,44,28.81132698059082,0.021124135702848434,0.19754838943481445,-2.7656097412109375,0.36145833134651184,True,27.32678985595703
low_noise,FNO,45,28.759679794311523,0.02242218144237995,0.21249902248382568,-2.7539899349212646,0.3630208373069763,True,28.141023635864258
