model,R_RMSE,R_Relative_L2,Amplitude_RMSE,Amplitude_Relative_L2,Mean_trace_error,Max_trace_error,Minimum_eigenvalue,Negative_eigenvalue_fraction
FNO,0.08608100570051884,0.5165263414382935,0.4143533045352371,0.17607641220092773,0.011498193256556988,0.1505589485168457,-0.7177095413208008,0.34078457951545715
Final_LNO,0.08692437282229164,0.5215809941291809,0.41349579158680205,0.17571207880973816,2.837993839932551e-08,2.384185791015625e-07,-3.2853321840775607e-07,0.0
Step26_C_LNO,0.08461356400539907,0.5077136158943176,0.4183994640871613,0.17779582738876343,9.937556555428273e-09,1.1920928955078125e-07,-3.2147488582268124e-07,0.0
