regime,transitions,R_Relative_L2_FNO,R_Relative_L2_Final_LNO,R_Relative_L2_C_LNO,Amplitude_Relative_L2_FNO,Amplitude_Relative_L2_Final_LNO,Amplitude_Relative_L2_C_LNO,C_LNO_R_better_than_FNO,C_LNO_R_better_than_Final_LNO
low_noise,297,0.15552622079849243,0.1420385092496872,0.10086528211832047,0.030189452692866325,0.04080768674612045,0.03362204134464264,True,True
stochastic,297,0.6222813129425049,0.6385464072227478,0.615386426448822,0.1910804808139801,0.1911165714263916,0.1911882609128952,True,True
heavy_dissipation,297,0.4147300124168396,0.41859865188598633,0.4035600423812866,0.049969784915447235,0.05671903118491173,0.051741790026426315,True,True
collapse,297,0.663486897945404,0.6619823575019836,0.6591235995292664,0.27615365386009216,0.2728930413722992,0.2789204716682434,True,True
metastable,297,0.5569154620170593,0.5644978880882263,0.5499855875968933,0.11853055655956268,0.12056730687618256,0.12138280272483826,True,True
